brand,category,cashback,upsized,upsize_ends_at_utc,category_rates,tracking_time,claim_time,url
1byone Audio,Home & Garden,10.5% Cashback,,,,2 days,75 days,https://www.shopback.com.au/1byone-audio
1st Energy (Compare),Finance & Utilities,Up to $160 Cashback,yes,2026-07-21T13:59:59.000Z,New Gas & Electricity Signups: $$160; New Electricity Signups: $$100; New Gas Signups: $$60,15 days,120 days,https://www.shopback.com.au/1st-energy
2XU,Fashion,3% Cashback,,,,2 days,80 days,https://www.shopback.com.au/2xu
4S eSim,Digital & VPNs,12% Cashback,,,,2 Days,65 Days,https://www.shopback.com.au/4sesim
4WD Supacentre,Home & Garden,2.5% Cashback,,,Standard Cashback: 2.5%,2 days,90 days,https://www.shopback.com.au/4wd-supacentre
Above the Clouds,Fashion,3% Cashback,,,Standard Cashback: 3%,2 days,90 days,https://www.shopback.com.au/above-the-clouds
Above The Collar,Beauty,Up to 4.9% Cashback,,,New Customer: 4.9%; Existing Customer: 2.8%,2 days,90 days,https://www.shopback.com.au/above-the-collar
Abrand Jeans,Fashion,5% Cashback,,,Standard Cashback: 5%,2 days,95 days,https://www.shopback.com.au/abrand
Accor Live Limitless,Travel,Up to 5% Cashback,,,"New Customer (Luxury, Lifestyle by Ennismore & Premium Hotels): 5%; New Customer (Midscale & Economy Hotels): 4%; Non-elite Customer (Luxury, Lifestyle by Ennismore & Premium Hotels): 3%; Non Elite Customer (Midscale & Economy Hotels): 2%; Elite Customer (Luxury Lifestyle by Ennismore & Premium Hotels): 1%",7 days,120 days after your trip,https://www.shopback.com.au/accor-live-limitless
Acler,Fashion,3% Cashback,,,Standard Cashback: 3%,2 days,95 days,https://www.shopback.com.au/acler
acmé de la vie- ADLV,Fashion,2.52% Cashback,,,,2 days,90 days,https://www.shopback.com.au/acme-de-la-vie
ActewAGL (Compare),Finance & Utilities,Up to $160 Cashback,yes,2026-07-21T13:59:59.000Z,New Gas & Electricity Signups: $$160; New Electricity Signups: $$100; New Gas Signups: $$60,15 days,120 days,https://www.shopback.com.au/actewagl
Adairs,Home & Garden,2% Cashback,,,Standard Cashback: 2%,2 days,95 days,https://www.shopback.com.au/adairs
Adam &amp; Eve,Marketplace,6% Cashback,,,Standard Cashback: 6%,2 days,90 days,https://www.shopback.com.au/adam-eve
adidas,Fashion,12% Cashback,yes,2026-07-19T13:59:59.000Z,Standard Cashback: 12%; Code Usage: 0%,2 days,95 days,https://www.shopback.com.au/adidas
Adobe,Digital & VPNs,Up to 50% Cashback,,,Document Cloud Subscription -Monthly Payment (Cashback for the first month only): 50%; Creative Cloud Subscription -Monthly Payment (Cashback for the first month only): 50%; Document Cloud Subscription -Prepaid: 4.9%; Creative Cloud Subscription -Yearly: 4.9%; Trial Subscriptions or Consultations: 0%,2 days,90 days,https://www.shopback.com.au/adobe
ADOR,Digital & VPNs,10% Cashback,,,,2 days,90 days,https://www.shopback.com.au/ador
Adore Beauty,Beauty,Up to 2% Cashback,,,New Adore Beauty Customers: 2%; Existing Adore Beauty Customers: 0.5%,2 days,95 days,https://www.shopback.com.au/adore-beauty
Adrenaline,Activities,10% Cashback,yes,2026-07-20T13:59:59.000Z,Standard Cashback: 10%,2 days,89 days,https://www.shopback.com.au/adrenaline
Adventure Kings,Home & Garden,3.25% Cashback,,,Standard Cashback: 3.25%,2 days,75 days,https://www.shopback.com.au/adventure-kings
Advwin,Fitness & Sports,4% Cashback,,,,2 days,90 days,https://www.shopback.com.au/advwin
Aerre,Beauty,10.5% Cashback,yes,2026-07-20T13:59:59.000Z,Standard Cashback: 10.5%,2 days,90 days,https://www.shopback.com.au/aerre
AGL (Compare),Finance & Utilities,Up to $80 Cashback,,,New Gas & Electricity Signups: $$80; New Electricity Signups: $$50;  New Gas Signups: $$32,15 days,120 days,https://www.shopback.com.au/agl-compare
Agoda,Travel,Up to 6.5% Cashback,,,"Hotel: 6.5%; Flight + Hotel (Hotel Portion): 6.5%; Airport Transfer: 3.5%; Attractions, Tours, and Others: 3.5%; eSIM: 3.5%; Flights: 1%",5 days,120 days after your trip,https://www.shopback.com.au/agoda
ahm via Compare Club,Finance & Utilities,Up to $65 Cashback,,,Family ( Opt in for Hospitals and Extras ): $$65; Couple ( Opt in for Hospitals and Extras ): $$65; All Others: $$48.75; Family: $$48.75; Couple: $$48.75; Single ( Opt in for Hospitals and Extras ): $$48.75; Single Parent ( Opt in for Hospitals and Extras ): $$48.75; Single: $$32.50; Single Parent: $$32.50,2 days,120 days,https://www.shopback.com.au/ahm
AIMN,Fashion,7.7% Cashback,yes,2026-07-20T13:59:59.000Z,Standard Cashback: 7.7%,2 days,90 days,https://www.shopback.com.au/aimn
Aiper,Home & Garden,8% Cashback,,,,2 Days,95 Days,https://www.shopback.com.au/aiper
Air India,Travel,0.45% Cashback,,,Standard Cashback: 0.45%,2 days,90 days after your trip,https://www.shopback.com.au/air-india
Air New Zealand,Travel,0.5% Cashback,,,Standard Cashback: 0.5%,2 days,120 days after your trip,https://www.shopback.com.au/air-new-zealand
Airalo,Travel,21% Cashback,yes,,Standard Caashback: 21%,2 days,90 days after your trip,https://www.shopback.com.au/airalo
AirAsia Travel,Travel,Temporarily unavailable,,,,2 days,110 days after the trip,https://www.shopback.com.au/airasiatravel
Airhub App,Travel,4.2% Cashback,,,,2 days,90 days after your trip,https://www.shopback.com.au/airhub
Airpaz,Travel,1.05% Cashback,,,,2 days,90 days after your trip,https://www.shopback.com.au/airpaz
Airwallex,Digital & VPNs,$288 Cashback,yes,,First Transaction post Sign-up: $$288,2 days,90 days,https://www.shopback.com.au/airwallex
Aje.,Fashion,3% Cashback,,,Standard Cashback: 3%,2 days,90 days,https://www.shopback.com.au/aje
Alexandra,Fashion,4% Cashback,,,Standard Cashback: 4%,2 days,35 days,https://www.shopback.com.au/alexandra
AliExpress,Marketplace,Up to 5% Cashback,,,,5 days,105 days,https://www.shopback.com.au/aliexpress
Alinta Energy (Compare),Finance & Utilities,Up to $160 Cashback,yes,2026-07-21T13:59:59.000Z,New Gas & Electricity Signups: $$160; New Electricity Signups: $$100; New Gas Signups: $$60,15 days,120 days,https://www.shopback.com.au/alinta-energy
ALL Accor+,Travel,4.8% Cashback,,,Membership Subscription: 4.8%,2 days,120 days after your trip,https://www.shopback.com.au/accor-plus
All Blacks Shop,Fashion,1.4% Cashback,,,Standard Cashback: 1.4%,2 days,90 days,https://www.shopback.com.au/all-blacks-shop
Ally Fashion,Fashion,Up to 5.4% Cashback,,,New Ally Fashion Customers: 5.4%; Existing Ally Fashion Customers: 4.2%; Sale Items: 3%,2 days,80 days,https://www.shopback.com.au/ally-fashion
Althea,Beauty,5% Cashback,,,,1 days,75 days,https://www.shopback.com.au/althea
Altina Drinks,Alcohol,6% Cashback,,,,2 days,90 days,https://www.shopback.com.au/altina-drinks
Amazon,Marketplace,Up to 5% Cashback,,,"Amazon Devices (Echo, Fire TV & Tablet, Ring Smart Security, Eero Mesh Wi-Fi ONLY): 5%; Physical Books: 4%; Toys (Includes Baby Toys): 4%; Office Products: 2.5%; Musical Instruments: 2.5%; Lawn & Garden: 2%; Alcohol (Includes Wine, Beer & Spirits, Pre-Mixed Drinks): 2%; Electronics (Includes Bluetooth Speakers, Headphones, Speakers): 1.5%; Automotive (Includes Car Care, Tools & equipments, Oil & Fluids, Motorbike & Accessories): 1%; Pantry Food & Drinks: 0.5%; Major Appliances: 0%; Personal Care Appliances ( Including Electronic Personal Care ): 0%; Jewelry: 0%; DVD & Blu-Ray: 0%; Luxury Beauty: 0%; Computers (Includes Desktops, Laptops, Computer Bags, Monitors, Accessories, Storage, Network): 0%; Apparel: 0%; Tires: 0%; Kitchen & Dining: 0%; Digital Software: 0%; Watches: 0%; Physical Music (Includes CDs, Records, Cassette Tapes): 0%; Others: 0%; Home Entertaiment (Includes TVs, Projectors, Sound Bars, Home Theatre Systems, Amplifiers): 0%; Home (Includes Bed Bath, Decor, Storage & Organisation, Heaters, Fans, Vacuum Cleaners, Mattresses ): 0%; Shoes, Handbags & Accessories: 0%; Beauty (Includes Haircare & Hair Styling, Makeup, Fragrances, Manicures): 0%; Hardware Tools: 0%; Physical Video Games: 0%; Business & Industrial Supplies: 0%; Home Improvement ( Includes Kitchen & Bath, Electrical, Smart Lights, Fans, Hardware ): 0%; Furniture: 0%; Software: 0%; Camera, Camera Bags, Binoculars: 0%; Digital Video Games: 0%; Luggage & Backpacks: 0%; Pet Food & Supplies: 0%; Sports & Outdoors: 0%; Baby Products (Includes Strollers, Car Seats, Car Seats, Safety Equipment): 0%; Health, Household Products (Includes Laundry, Supplement, Cleaning Supplies): 0%; Mobile Phones & Wearable Tech (Includes Smartwatches, Fitness Trackers, Dashcams, Tablets, Navigation): 0%",4 days,95 days,https://www.shopback.com.au/amazon-australia
Amazon Music Unlimited,Tech,$2.20 Cashback,,,Amazon Music Subscription: $$2.20; Amazon Music Trial: $$0,2 days,90 days,https://www.shopback.com.au/amazon-music-unlimited
Amazon Prime Video,Home & Garden,Up to 2% Cashback,,,SVOD (30 days Free Trial Subscription Sign Up): $$2.83; TVOD Action: 2%; First Stream: $$1.89; Amazon Prime Video Channel Subscription: $$0.94,2 days,90 days,https://www.shopback.com.au/prime-video
Amber Sceats,Fashion,7.5% Cashback,,,,2 days,90 days,https://www.shopback.com.au/amber-sceats
Ameliorate,Other,Up to 7% Cashback,,,New Customers: 7%; Existing Customers: 3.5%; Use of Voucher Codes: 1.4%,2 days,90 days,https://www.shopback.com.au/ameliorate
American Eagle,Fashion,2.8% Cashback,,,,2 days,90 days,https://www.shopback.com.au/american-eagle
American Provenance,Health & Beauty,7% Cashback,,,,2 days,90 days,https://www.shopback.com.au/american-provenance
American Tourister,Travel,12% Cashback,yes,2026-07-20T13:59:59.999Z,Standard Cashback: 12%,2 days,75 days after your trip,https://www.shopback.com.au/american-tourister
Amore Mall,Beauty,4% Cashback,,,Standard Cashback: 4%,2 days,50 days,https://www.shopback.com.au/amore-mall
Anaconda,Home & Garden,Up to 1.2% Cashback,,,Standard Cashback: 1.2%; Order with Coupon: 0.6%,2 days,75 days,https://www.shopback.com.au/anaconda
Ancestry,Digital & VPNs,5.6% Cashback,,,Standard Cashback: 5.6%,2 days,95 days,https://www.shopback.com.au/ancestry-com-au
Andie Swim,Fashion,3% Cashback,,,,2 days,90 days,https://www.shopback.com.au/andie-swim
Angara,Fashion,8.4% Cashback,yes,,Standard Cashback: 8.4%,2 days,75 days,https://www.shopback.com.au/angara
Angles90,Fitness & Sports,3% Cashback,,,Standard Cashback: 3%,2 days,70 days,https://www.shopback.com.au/angles90
